OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ2931.obj,FJ2931,Left anterior segmental vein,,FMA8667,Vessel,Other,,None,Others,,30.5×40.1×9,part_of,,,
FJ2931.obj,FJ2931,Left anterior segmental vein,,FMA8667,Vessel,Other,,None,Others,,30.5×40.1×9,is_a,,,
FJ2932.obj,FJ2932,Left anterior segmental vein,,FMA8667,Vessel,Other,,None,Others,,7.6×17.6×4.2,part_of,,,
FJ2932.obj,FJ2932,Left anterior segmental vein,,FMA8667,Vessel,Other,,None,Others,,7.6×17.6×4.2,is_a,,,
FJ2933.obj,FJ2933,Left superior pulmonary vein,,FMA49916,Vessel,Other,,None,Others,,48.1×29.3×39.2,part_of,,,
FJ2933.obj,FJ2933,Left superior pulmonary vein,,FMA49916,Vessel,Other,,None,Others,,48.1×29.3×39.2,is_a,,,
FJ2934.obj,FJ2934,Inferior lingular vein,,FMA8669,Vessel,Other,,None,Others,,13.9×52.3×47.8,part_of,,,
FJ2934.obj,FJ2934,Inferior lingular vein,,FMA8669,Vessel,Other,,None,Others,,13.9×52.3×47.8,is_a,,,
FJ2935.obj,FJ2935,Inferior lingular vein,,FMA8669,Vessel,Other,,None,Others,,7.9×35.7×27.1,part_of,,,
FJ2935.obj,FJ2935,Inferior lingular vein,,FMA8669,Vessel,Other,,None,Others,,7.9×35.7×27.1,is_a,,,
FJ2936.obj,FJ2936,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,26.8×12×89.9,part_of,,,
FJ2936.obj,FJ2936,Left apical segmental vein,,FMA9437,Vessel,Other,,None,Others,,26.8×12×89.9,is_a,,,
FJ2937.obj,FJ2937,Superior lingular vein,,FMA8668,Vessel,Other,,None,Others,,50.1×60.9×31.2,part_of,,,
FJ2937.obj,FJ2937,Superior lingular vein,,FMA8668,Vessel,Other,,None,Others,,50.1×60.9×31.2,is_a,,,
FJ2938.obj,FJ2938,Superior lingular vein,,FMA8668,Vessel,Other,,None,Others,,12.1×40.5×20.8,part_of,,,
FJ2938.obj,FJ2938,Superior lingular vein,,FMA8668,Vessel,Other,,None,Others,,12.1×40.5×20.8,is_a,,,
FJ2939.obj,FJ2939,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,43.3×49.1×22.1,part_of,,,
FJ2939.obj,FJ2939,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,43.3×49.1×22.1,is_a,,,
FJ2940.obj,FJ2940,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,3.3×4×13,part_of,,,
FJ2940.obj,FJ2940,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,3.3×4×13,is_a,,,
FJ2941.obj,FJ2941,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,12.8×15.2×3.5,part_of,,,
FJ2941.obj,FJ2941,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,12.8×15.2×3.5,is_a,,,
FJ2942.obj,FJ2942,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,3.1×8×6.8,part_of,,,
FJ2942.obj,FJ2942,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,3.1×8×6.8,is_a,,,
FJ2943.obj,FJ2943,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,17.7×22.9×9,part_of,,,
FJ2943.obj,FJ2943,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,17.7×22.9×9,is_a,,,
FJ2944.obj,FJ2944,Left inferior pulmonary vein,,FMA49913,Vessel,Other,,None,Others,,13.4×24.5×28,part_of,,,
FJ2944.obj,FJ2944,Left inferior pulmonary vein,,FMA49913,Vessel,Other,,None,Others,,13.4×24.5×28,is_a,,,
FJ2945.obj,FJ2945,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,7.5×9.1×60.5,part_of,,,
FJ2945.obj,FJ2945,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,7.5×9.1×60.5,is_a,,,
FJ2946.obj,FJ2946,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,3.9×12.9×20.7,part_of,,,
FJ2946.obj,FJ2946,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,3.9×12.9×20.7,is_a,,,
FJ2947.obj,FJ2947,Left apical segmental vein,,FMA9437,Vessel,Neck,,None,Others,,12.3×4.1×21.6,part_of,,,
FJ2947.obj,FJ2947,Left apical segmental vein,,FMA9437,Vessel,Neck,,None,Others,,12.3×4.1×21.6,is_a,,,
FJ2948.obj,FJ2948,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,8.3×15×17.3,part_of,,,
FJ2948.obj,FJ2948,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,8.3×15×17.3,is_a,,,
FJ2949.obj,FJ2949,Left posterior basal segmental vein,,FMA9451,Vessel,Other,,None,Others,,14×28.5×25.2,part_of,,,
